"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"LRR",0.930687573718171
"2","AC",1,"GAM",0.926073683480191
"3","AC",1,"LDA",0.94418233539166
"4","AC",1,"CTREE",0.924304447373899
"5","AC",1,"RF",0.945032262540762
"6","AC",1,"XGB",0.936029972941095
"7","AC",1,"LGBM",0.937486990910983
"8","AC",1,"RE",0.925258447235135
"9","AC",1,"SRE",0.928085755914799
"10","AC",2,"LRR",0.911414141414141
"11","AC",2,"GAM",0.875589225589226
"12","AC",2,"LDA",0.913232323232323
"13","AC",2,"CTREE",0.906683501683502
"14","AC",2,"RF",0.930858585858586
"15","AC",2,"XGB",0.926212121212121
"16","AC",2,"LGBM",0.923569023569024
"17","AC",2,"RE",0.913703703703704
"18","AC",2,"SRE",0.91486531986532
"19","AC",3,"LRR",0.907962648556876
"20","AC",3,"GAM",0.873310696095076
"21","AC",3,"LDA",0.902852292020374
"22","AC",3,"CTREE",0.879456706281834
"23","AC",3,"RF",0.922563667232598
"24","AC",3,"XGB",0.920747028862479
"25","AC",3,"LGBM",0.926638370118846
"26","AC",3,"RE",0.898098471986418
"27","AC",3,"SRE",0.899337860780985
"28","AC",4,"LRR",0.9338185164985
"29","AC",4,"GAM",0.849570493591492
"30","AC",4,"LDA",0.926711208071993
"31","AC",4,"CTREE",0.934329833651486
"32","AC",4,"RF",0.943823288791928
"33","AC",4,"XGB",0.942306381238069
"34","AC",4,"LGBM",0.946976411235342
"35","AC",4,"RE",0.929983637851104
"36","AC",4,"SRE",0.939425961276248
"37","AC",5,"LRR",0.911451814768461
"38","AC",5,"GAM",0.886820330969267
"39","AC",5,"LDA",0.90157836184119
"40","AC",5,"CTREE",0.894086357947434
"41","AC",5,"RF",0.924454178834654
"42","AC",5,"XGB",0.925184258100403
"43","AC",5,"LGBM",0.92535808649701
"44","AC",5,"RE",0.915658461966347
"45","AC",5,"SRE",0.923359059936031
"46","AC",6,"LRR",0.930941643669651
"47","AC",6,"GAM",0.877869017971327
"48","AC",6,"LDA",0.918523255031298
"49","AC",6,"CTREE",0.920374234367638
"50","AC",6,"RF",0.934996971124722
"51","AC",6,"XGB",0.923167530457024
"52","AC",6,"LGBM",0.920256444773507
"53","AC",6,"RE",0.927895941307128
"54","AC",6,"SRE",0.92495120145386
"55","AC",7,"LRR",0.919722915121688
"56","AC",7,"GAM",0.889637969392571
"57","AC",7,"LDA",0.921391491943639
"58","AC",7,"CTREE",0.905245061686779
"59","AC",7,"RF",0.922588148048271
"60","AC",7,"XGB",0.91783523225241
"61","AC",7,"LGBM",0.932060271017326
"62","AC",7,"RE",0.913773343221196
"63","AC",7,"SRE",0.92056563068833
"64","AC",8,"LRR",0.92269555002764
"65","AC",8,"GAM",0.87859314538419
"66","AC",8,"LDA",0.936498065229408
"67","AC",8,"CTREE",0.919620646766169
"68","AC",8,"RF",0.944789939192924
"69","AC",8,"XGB",0.941041321171918
"70","AC",8,"LGBM",0.945498203427308
"71","AC",8,"RE",0.939935737976783
"72","AC",8,"SRE",0.940937672747374
"73","AC",9,"LRR",0.926741352467339
"74","AC",9,"GAM",0.879679144385027
"75","AC",9,"LDA",0.918804575915522
"76","AC",9,"CTREE",0.923813714208353
"77","AC",9,"RF",0.940871860827185
"78","AC",9,"XGB",0.936590401407974
"79","AC",9,"LGBM",0.947150206457727
"80","AC",9,"RE",0.931395112705612
"81","AC",9,"SRE",0.941227238881744
"82","AC",10,"LRR",0.914771949048076
"83","AC",10,"GAM",0.896555266401863
"84","AC",10,"LDA",0.913402273661142
"85","AC",10,"CTREE",0.886214217230516
"86","AC",10,"RF",0.930283522805095
"87","AC",10,"XGB",0.918555677304479
"88","AC",10,"LGBM",0.930163676208739
"89","AC",10,"RE",0.922288042733872
"90","AC",10,"SRE",0.923281057389399
