"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.168985497869646
"2","GC",1,"GAM",0.170013997272032
"3","GC",1,"LDA",0.165284723126843
"4","GC",1,"CTREE",0.173609905116463
"5","GC",1,"RF",0.152955155181301
"6","GC",1,"XGB",0.18279709651538
"7","GC",1,"LGBM",0.155826964258916
"8","GC",1,"RE",0.166730827988723
"9","GC",1,"SRE",0.164579677798828
"10","GC",2,"LRR",0.177940339282885
"11","GC",2,"GAM",0.181154090373872
"12","GC",2,"LDA",0.178768378765262
"13","GC",2,"CTREE",0.191819710666102
"14","GC",2,"RF",0.171478128160962
"15","GC",2,"XGB",0.177598035704937
"16","GC",2,"LGBM",0.176386506328982
"17","GC",2,"RE",0.178283372137381
"18","GC",2,"SRE",0.177653154577992
"19","GC",3,"LRR",0.177562059670994
"20","GC",3,"GAM",0.173118802712744
"21","GC",3,"LDA",0.166723691269296
"22","GC",3,"CTREE",0.193731641526677
"23","GC",3,"RF",0.170833247528951
"24","GC",3,"XGB",0.184770944036684
"25","GC",3,"LGBM",0.180600939402888
"26","GC",3,"RE",0.190089586078347
"27","GC",3,"SRE",0.182009028225243
"28","GC",4,"LRR",0.171262975733275
"29","GC",4,"GAM",0.17677657256864
"30","GC",4,"LDA",0.175839379844702
"31","GC",4,"CTREE",0.194242700001196
"32","GC",4,"RF",0.164147596529794
"33","GC",4,"XGB",0.183521499875221
"34","GC",4,"LGBM",0.178214931961344
"35","GC",4,"RE",0.173617405615854
"36","GC",4,"SRE",0.170221302832273
"37","GC",5,"LRR",0.169375505223786
"38","GC",5,"GAM",0.16857662961525
"39","GC",5,"LDA",0.169156349168118
"40","GC",5,"CTREE",0.185740249515954
"41","GC",5,"RF",0.167691957972789
"42","GC",5,"XGB",0.173352028274523
"43","GC",5,"LGBM",0.182825229123122
"44","GC",5,"RE",0.178501931348545
"45","GC",5,"SRE",0.176947646323835
"46","GC",6,"LRR",0.163481960222761
"47","GC",6,"GAM",0.16759364335267
"48","GC",6,"LDA",0.165658517349746
"49","GC",6,"CTREE",0.17674523423685
"50","GC",6,"RF",0.163894746333392
"51","GC",6,"XGB",0.163969203785572
"52","GC",6,"LGBM",0.163832993314397
"53","GC",6,"RE",0.180741568394036
"54","GC",6,"SRE",0.164457096068902
"55","GC",7,"LRR",0.162368554712681
"56","GC",7,"GAM",0.168532131444287
"57","GC",7,"LDA",0.156611057582348
"58","GC",7,"CTREE",0.180199788853873
"59","GC",7,"RF",0.15921725
"60","GC",7,"XGB",0.16307767143604
"61","GC",7,"LGBM",0.166816406677781
"62","GC",7,"RE",0.173051446378945
"63","GC",7,"SRE",0.160812573620948
"64","GC",8,"LRR",0.180682647146549
"65","GC",8,"GAM",0.177993025894125
"66","GC",8,"LDA",0.183026228914294
"67","GC",8,"CTREE",0.198283047758492
"68","GC",8,"RF",0.172589712178539
"69","GC",8,"XGB",0.182503706076037
"70","GC",8,"LGBM",0.178628896454093
"71","GC",8,"RE",0.190110191954022
"72","GC",8,"SRE",0.181252754315721
"73","GC",9,"LRR",0.176820052618523
"74","GC",9,"GAM",0.181475797082793
"75","GC",9,"LDA",0.179793322871929
"76","GC",9,"CTREE",0.208382012118149
"77","GC",9,"RF",0.171976256202856
"78","GC",9,"XGB",0.193304816179917
"79","GC",9,"LGBM",0.188545111202386
"80","GC",9,"RE",0.188966283812436
"81","GC",9,"SRE",0.17441854946395
"82","GC",10,"LRR",0.166371626798071
"83","GC",10,"GAM",0.169015882919676
"84","GC",10,"LDA",0.166950722540975
"85","GC",10,"CTREE",0.177151509248598
"86","GC",10,"RF",0.161380981256245
"87","GC",10,"XGB",0.173263896849577
"88","GC",10,"LGBM",0.174163362860035
"89","GC",10,"RE",0.167261879724975
"90","GC",10,"SRE",0.164941721563917
