"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"LRR",0.76408002038736
"2","HMEQ",1,"GAM",0.601643985010384
"3","HMEQ",1,"LDA",0.564526206727461
"4","HMEQ",1,"CTREE",0.541017104266599
"5","HMEQ",1,"RF",0.852267920094007
"6","HMEQ",1,"XGB",0.664115599939477
"7","HMEQ",1,"LGBM",0.678166997135933
"8","HMEQ",1,"RE",0.614120350173051
"9","HMEQ",1,"SRE",0.72281713960728
"10","HMEQ",2,"LRR",0.766607113316791
"11","HMEQ",2,"GAM",0.590816513405071
"12","HMEQ",2,"LDA",0.547875275169281
"13","HMEQ",2,"CTREE",0.423596671210932
"14","HMEQ",2,"RF",0.801408009496645
"15","HMEQ",2,"XGB",0.612914862914863
"16","HMEQ",2,"LGBM",0.677824018518991
"17","HMEQ",2,"RE",0.599289537925976
"18","HMEQ",2,"SRE",0.645057418200704
"19","HMEQ",3,"LRR",0.789403282995766
"20","HMEQ",3,"GAM",0.58671580136111
"21","HMEQ",3,"LDA",0.580306585327702
"22","HMEQ",3,"CTREE",0.532367412647666
"23","HMEQ",3,"RF",0.855053010407548
"24","HMEQ",3,"XGB",0.686685488424619
"25","HMEQ",3,"LGBM",0.732207645615692
"26","HMEQ",3,"RE",0.631507356141725
"27","HMEQ",3,"SRE",0.622405796305953
"28","HMEQ",4,"LRR",0.742128247150417
"29","HMEQ",4,"GAM",0.553921096713326
"30","HMEQ",4,"LDA",0.535955832361751
"31","HMEQ",4,"CTREE",0.376617336374434
"32","HMEQ",4,"RF",0.79164840626952
"33","HMEQ",4,"XGB",0.643275464170987
"34","HMEQ",4,"LGBM",0.635908605974395
"35","HMEQ",4,"RE",0.586894340199907
"36","HMEQ",4,"SRE",0.681828540910357
"37","HMEQ",5,"LRR",0.762298784629487
"38","HMEQ",5,"GAM",0.531095425256009
"39","HMEQ",5,"LDA",0.551833726415094
"40","HMEQ",5,"CTREE",0.497969176888341
"41","HMEQ",5,"RF",0.813767545608076
"42","HMEQ",5,"XGB",0.674187098810902
"43","HMEQ",5,"LGBM",0.661264596871976
"44","HMEQ",5,"RE",0.552517403270196
"45","HMEQ",5,"SRE",0.698842051880993
"46","HMEQ",6,"LRR",0.77210468490295
"47","HMEQ",6,"GAM",0.633934017471818
"48","HMEQ",6,"LDA",0.540563064622423
"49","HMEQ",6,"CTREE",0.46484838346665
"50","HMEQ",6,"RF",0.827802611269984
"51","HMEQ",6,"XGB",0.659645695585387
"52","HMEQ",6,"LGBM",0.654020599073987
"53","HMEQ",6,"RE",0.613172770366641
"54","HMEQ",6,"SRE",0.65242580548703
"55","HMEQ",7,"LRR",0.770249355116079
"56","HMEQ",7,"GAM",0.607421984503426
"57","HMEQ",7,"LDA",0.5822590057828
"58","HMEQ",7,"CTREE",0.485620972210072
"59","HMEQ",7,"RF",0.833041043401371
"60","HMEQ",7,"XGB",0.70290750542097
"61","HMEQ",7,"LGBM",0.695425379679638
"62","HMEQ",7,"RE",0.628887711240652
"63","HMEQ",7,"SRE",0.608945956889924
"64","HMEQ",8,"LRR",0.766675232837382
"65","HMEQ",8,"GAM",0.594204493351673
"66","HMEQ",8,"LDA",0.534659737490075
"67","HMEQ",8,"CTREE",0.46367149245739
"68","HMEQ",8,"RF",0.825582406031756
"69","HMEQ",8,"XGB",0.659961497947768
"70","HMEQ",8,"LGBM",0.680557235265854
"71","HMEQ",8,"RE",0.518878440652634
"72","HMEQ",8,"SRE",0.661662592308319
"73","HMEQ",9,"LRR",0.74602009709834
"74","HMEQ",9,"GAM",0.570638052878233
"75","HMEQ",9,"LDA",0.543355742296919
"76","HMEQ",9,"CTREE",0.438258730413391
"77","HMEQ",9,"RF",0.811298842592346
"78","HMEQ",9,"XGB",0.706810329150755
"79","HMEQ",9,"LGBM",0.719943929337454
"80","HMEQ",9,"RE",0.622268289575781
"81","HMEQ",9,"SRE",0.672636079318605
"82","HMEQ",10,"LRR",0.782965575505965
"83","HMEQ",10,"GAM",0.567817135937027
"84","HMEQ",10,"LDA",0.552132200667766
"85","HMEQ",10,"CTREE",0.349586699668426
"86","HMEQ",10,"RF",0.839215624083164
"87","HMEQ",10,"XGB",0.688093402828758
"88","HMEQ",10,"LGBM",0.682892862794746
"89","HMEQ",10,"RE",0.574044852898676
"90","HMEQ",10,"SRE",0.630397727272727
